record_id,timestamp,intersection_id,intersection_name,latitude,longitude,vehicle_count,average_speed,signal_cycle_time,green_time,yellow_time,red_time,weather_condition,day_of_week,is_holiday,event,pollution_level,car_count,bus_count,truck_count,motorcycle_count
9926.0,2023-01-07 21:20:00,6.0,Allahabad Junction,25.4358,81.8307,75.0,39.72,120.0,63.0,4.0,53.0,Clear,Saturday,0.0,,1.21,48.0,4.0,6.0,17.0
8595.0,2023-01-06 23:10:00,5.0,Naini Bridge,25.4088,81.8592,139.0,30.33,120.0,51.0,4.0,65.0,Clear,Friday,0.0,,2.86,89.0,13.0,17.0,20.0
673.0,2023-01-01 11:10:00,3.0,Chowk,25.4314,81.8437,20.0,53.28,120.0,69.0,5.0,46.0,Clear,Sunday,1.0,,0.34,15.0,1.0,2.0,2.0
8744.0,2023-01-07 01:40:00,4.0,Tagore Town,25.4675,81.8867,21.0,36.06,120.0,59.0,4.0,57.0,Heavy Rain,Saturday,0.0,,0.54,12.0,4.0,2.0,3.0
316.0,2023-01-01 05:10:00,6.0,Allahabad Junction,25.4358,81.8307,41.0,47.21,120.0,,5.0,54.0,Clear,Sunday,1.0,,0.86,26.0,6.0,2.0,7.0
1092.0,2023-01-01 18:10:00,2.0,Katra,25.455,81.8463,177.0,24.71,120.0,77.0,5.0,38.0,Clear,Sunday,1.0,New Year Celebration,3.46,111.0,18.0,15.0,33.0
3503.0,2023-01-03 10:20:00,3.0,Chowk,25.4314,81.8437,133.0,23.87,120.0,,6.0,47.0,Heavy Rain,Tuesday,0.0,,2.78,77.0,16.0,12.0,28.0
7477.0,2023-01-06 04:30:00,7.0,Phaphamau,25.4945,81.8686,162.0,25.93,120.0,79.0,6.0,35.0,Clear,Friday,0.0,,3.16,95.0,14.0,18.0,35.0
2955.0,2023-01-03 01:10:00,5.0,Naini Bridge,25.4088,81.8592,32.0,30.79,120.0,60.0,5.0,55.0,Heavy Rain,Tuesday,0.0,,0.77,19.0,4.0,5.0,4.0
6620.0,2023-01-05 14:10:00,10.0,Minto Park,25.4352,81.882,75.0,39.93,120.0,53.0,6.0,61.0,Cold Wave,Thursday,1.0,,1.86,33.0,11.0,11.0,20.0
4872.0,2023-01-04 09:10:00,2.0,Katra,25.455,81.8463,152.0,29.01,120.0,67.0,3.0,50.0,Cold Wave,Wednesday,0.0,,3.0,96.0,17.0,11.0,28.0
6309.0,2023-01-05 09:00:00,9.0,MNNIT Gate,25.492,81.8639,146.0,29.73,120.0,59.0,5.0,56.0,Clear,Thursday,1.0,,2.87,94.0,14.0,14.0,24.0
4361.0,2023-01-04 00:40:00,1.0,Civil Lines,25.4486,81.8333,92.0,32.07,120.0,57.0,4.0,59.0,Light Rain,Wednesday,0.0,,1.99,56.0,9.0,13.0,14.0
1632.0,2023-01-02 03:10:00,2.0,Katra,25.455,81.8463,113.0,33.53,120.0,54.0,3.0,63.0,Clear,Monday,0.0,,2.18,75.0,10.0,11.0,17.0
6403.0,2023-01-05 10:40:00,3.0,Chowk,25.4314,81.8437,74.0,40.46,120.0,60.0,5.0,55.0,Clear,Thursday,1.0,,1.37,38.0,5.0,9.0,22.0
2572.0,2023-01-02 18:50:00,2.0,Katra,25.455,81.8463,208.0,25.63,120.0,74.0,5.0,41.0,Cold Wave,Monday,0.0,,4.7,116.0,29.0,21.0,42.0
5989.0,2023-01-05 03:40:00,9.0,MNNIT Gate,25.492,81.8639,91.0,36.89,120.0,59.0,3.0,58.0,Clear,Thursday,1.0,,1.79,47.0,9.0,9.0,26.0
8006.0,2023-01-06 13:20:00,6.0,Allahabad Junction,,81.8307,165.0,13.89,120.0,86.0,4.0,30.0,Clear,Friday,0.0,Roadwork,3.32,93.0,16.0,18.0,38.0
4287.0,2023-01-03 23:20:00,7.0,Phaphamau,25.4945,81.8686,67.0,42.18,120.0,61.0,3.0,56.0,Clear,Tuesday,0.0,,1.27,40.0,8.0,3.0,16.0
8319.0,2023-01-06 18:30:00,9.0,MNNIT Gate,25.492,81.8639,168.0,27.2,120.0,79.0,5.0,36.0,Clear,Friday,0.0,,3.53,95.0,20.0,16.0,37.0
988.0,2023-01-01 16:20:00,8.0,Jhunsi,25.4326,81.9061,39.0,42.95,120.0,64.0,6.0,50.0,Clear,Sunday,1.0,,0.84,22.0,6.0,2.0,9.0
8230.0,2023-01-06 17:00:00,10.0,Minto Park,25.4352,81.882,207.0,24.58,120.0,81.0,4.0,,Light Rain,Friday,0.0,,4.29,125.0,24.0,19.0,39.0
4338.0,2023-01-04 00:10:00,8.0,Jhunsi,25.4326,81.9061,50.0,42.92,120.0,64.0,4.0,52.0,Clear,Wednesday,0.0,,1.08,29.0,5.0,7.0,9.0
1046.0,2023-01-01 17:20:00,6.0,Allahabad Junction,25.4358,81.8307,67.0,37.2,120.0,63.0,4.0,53.0,Heatwave,Sunday,1.0,,1.04,45.0,5.0,2.0,15.0
9434.0,2023-01-07 13:10:00,4.0,Tagore Town,25.4675,,131.0,34.84,120.0,60.0,3.0,57.0,Clear,Saturday,0.0,,2.76,78.0,14.0,15.0,24.0
296.0,2023-01-01 04:50:00,6.0,Allahabad Junction,25.4358,81.8307,16.0,54.07,120.0,55.0,1.0,64.0,Heatwave,Sunday,1.0,,0.22,13.0,1.0,0.0,2.0
6396.0,2023-01-05 10:30:00,6.0,Allahabad Junction,25.4358,81.8307,115.0,29.92,120.0,64.0,4.0,52.0,Light Rain,Thursday,1.0,,2.09,71.0,8.0,12.0,24.0
,2023-01-06 20:30:00,,Chowk,25.4314,81.8437,189.0,22.7,120.0,81.0,6.0,33.0,Light Rain,Friday,0.0,Local Market Fair,3.61,121.0,18.0,16.0,34.0
2842.0,2023-01-02 23:20:00,2.0,Katra,25.455,81.8463,162.0,29.34,120.0,72.0,5.0,43.0,Light Rain,Monday,0.0,,3.24,94.0,14.0,20.0,34.0
7884.0,2023-01-06 11:20:00,4.0,Tagore Town,25.4675,81.8867,43.0,41.94,120.0,64.0,4.0,52.0,Clear,Friday,0.0,Local Market Fair,0.69,31.0,3.0,2.0,7.0
3719.0,2023-01-03 13:50:00,9.0,MNNIT Gate,25.492,81.8639,66.0,41.05,120.0,56.0,5.0,59.0,Clear,Tuesday,0.0,,1.66,34.0,11.0,8.0,13.0
5930.0,2023-01-05 02:40:00,10.0,Minto Park,25.4352,81.882,90.0,40.05,120.0,68.0,5.0,47.0,Clear,Thursday,1.0,,1.54,48.0,6.0,8.0,28.0
4116.0,2023-01-03 20:30:00,6.0,Allahabad Junction,25.4358,81.8307,195.0,24.71,120.0,85.0,3.0,32.0,Clear,Tuesday,0.0,,4.13,119.0,20.0,24.0,32.0
6012.0,2023-01-05 04:10:00,2.0,Katra,25.455,81.8463,38.0,42.4,120.0,60.0,5.0,55.0,Heatwave,Thursday,1.0,,0.51,28.0,1.0,2.0,7.0
4189.0,2023-01-03 21:40:00,9.0,MNNIT Gate,25.492,81.8639,112.0,36.2,120.0,65.0,,51.0,Clear,Tuesday,0.0,,2.22,57.0,14.0,7.0,34.0
1267.0,2023-01-01 21:00:00,7.0,Phaphamau,25.4945,81.8686,91.0,34.97,120.0,66.0,4.0,50.0,Clear,Sunday,1.0,,1.73,58.0,9.0,7.0,
2552.0,2023-01-02 18:30:00,2.0,Katra,25.455,81.8463,82.0,33.21,120.0,58.0,5.0,57.0,Light Rain,Monday,0.0,,1.78,48.0,8.0,12.0,14.0
4173.0,2023-01-03 21:30:00,3.0,Chowk,25.4314,81.8437,95.0,36.14,120.0,57.0,4.0,59.0,Clear,Tuesday,0.0,,1.94,60.0,11.0,8.0,16.0
